SYMBOL,AVG_30D_VOLUME
1018GS2026,1632.835294117647
20MICRONS,313962.4222222222
21STCENMGM,4659.777777777777
360ONE,1176429.2222222222
3BBLACKBIO,11451.366666666667
3IINFOLTD,715166.7222222222
3MINDIA,4645.355555555556
3PLAND,4919.333333333333
574GS2026,683.7611940298508
577GS2030,41.666666666666664
579GS2030,26.166666666666668
585GS2030,822.5333333333333
591GS2028,9605.851851851852
5PAISA,58216.73333333333
601GS2028,870.3125
601GS2030,9782.454545454546
603GS2029,561.6382978723404
610GS2031,525.2530120481928
613GS2028,240.75
619GS2034,97049.0
622GS2035,1835.5
628GS2032,1940.851851851852
633GS2035,1817.972972972973
636GS2031,8312.857142857143
63MOONS,675434.5555555555
645GS2029,50319.6875
648GS2035,24651.84
654GS2032,13357.15
657GS2033,2000.0
662GS2051,1508.3333333333333
664GS2027,526.8571428571429
664GS2035,22941.11111111111
667GS2035,1583.3333333333333
667GS2050,1916.1944444444443
668GS2033,898.1777777777778
668GS2040,56967.1
675GS2029,1242.2
676GS2061,38679.91111111111
679GS2027,1275000.0
679GS2031,3369.5666666666666
679GS2034,7661.381818181818
679GS2034A,167.14285714285714
68GS2060,557.640625
690GS2065,49509.066666666666
692GS2039,661.2962962962963
694GS2036,1606.763888888889
695GS2061,1706.8
697GR2034,454.2857142857143
698GR2054,500.4222222222222
699GS2051,4923.069767441861
702GS2027,4214.553191489362
702GS2031,1761.9767441860465
704GS2029,3814.8
706GS2028,7277.693333333334
706GS2041,2561.3636363636365
706GS2046,1447.7857142857142
709GS2054,25307.033333333333
709GS2074,25640.74157303371
710GS2029,8182.9078947368425
716GS2050,1935.2
717GS2028,162.38095238095238
717GS2030,7749.115384615385
718GS2033,14465.758620689656
718GS2037,45234.666666666664
719GS2060,441.82142857142856
71GS2034,6915.489795918367
723GS2039,10763.348837209302
724GS2055,57366.13333333333
725GR2028,99.0
725GS2063,248692.35555555555
726GS2029,79.0
726GS2032,10151.152777777777
726GS2033,21868.525
732GS2030,2864.866666666667
733GS2026,1085.2777777777778
734GS2064,248149.33333333334
735NABAR31,13.0
736GS2052,2411.480769230769
737GR2054,258.45454545454544
737GS2028,7555.8875
738GS2027,86445.21111111112
73GS2053,20394.33734939759
740IIFCL33,372.8666666666667
741GS2036,19491.964285714286
743GS2076,70787.67441860466
746GS2073,6917.189873417721
74GS2035,1172.84
74GS2062,1505.878048780488
750GS2056,1130.8088235294117
754GS2036,538715.1888888889
757GS2033,173837.08333333334
759GS2029,2000000.0
75GS2034,8093.0
762GS2039,1708.857142857143
763GS2059,238.71428571428572
769GS2043,504.0
771GS2066,7975.144927536232
772GS2049,90.36363636363636
772GS2055,429.8421052631579
788GS2030,1000000.0
795GS2032,551.1176470588235
813GS2045,1.0
817GS2044,354.0
824GS2027,1834.732142857143
826GS2027,52.5
828GS2027,1214.0
828GS2032,4474.625
832GS2032,5556.25
833GS2026,137.5
833GS2036,3.0
83GS2040,50.0
83GS2042,422.5
86GS2028,322.8
883GS2041,240.42857142857142
897GS2030,4279.45
92GS2030,12376.464285714286
A2ZINFRA,308186.8222222222
AAATECH,24155.855555555554
AADHARHFC,536810.8222222222
AAKAAR,11789.473684210527
AAKASH,156625.66666666666
AARADHYA,6600.0
AAREYDRUGS,58503.03333333333
AARNAV,132396.1222222222
AARON,25879.033333333333
AARTECH,110371.04444444444
AARTIDRUGS,184533.04444444444
AARTIIND,1403963.211111111
AARTIPHARM,465200.34444444446
AARTISURF,25284.0
AARVI,48894.066666666666
AASTHA,4835330.03030303
AATMAJ,7019.607843137255
AAVAS,130054.14444444445
ABAN,111232.71698113208
ABANSENT,21212.8
ABB,400516.23333333334
ABBOTINDIA,10940.077777777778
ABCAPITAL,4489400.233333333
ABCOTS,80163.34444444445
ABDL,461284.1666666667
ABFRL,5991424.933333334
ABGSEC,1251.6666666666667
ABHAPOWER,11550.684931506848
ABINFRA,3302108.2555555557
ABLBL,1373128.911111111
ABMINTLLTD,1610.1625
ABMKNO,2731.8333333333335
ABREL,218439.15555555557
ABSL10BANK,67757.37777777777
ABSLAMC,384125.43333333335
ABSLBANETF,251866.3777777778
ABSLFTTJRN,198.0
ABSLLIQUID,5280.633333333333
ABSLMSCIN,7769.348314606742
ABSLNN50ET,20319.277777777777
ABSLPSE,209794.97777777776
ABSMARINE,85377.77777777778
ACC,208133.56666666668
ACCELYA,7770.733333333334
ACCENTMIC,62566.666666666664
ACCORD,13259.25925925926
ACCPL,28266.666666666668
ACCURACY,96807.75555555556
ACE,549043.0333333333
ACEINTEG,9738.288888888888
ACETEC,24724.528301886792
ACI,242438.0888888889
ACL,16337.7
ACMESOLAR,2249713.6333333333
ACSTECH,231045.84444444443
ACTIVEINFR,1816.6666666666667
ACUTAAS,508718.1111111111
ADANIENSOL,3022384.488888889
ADANIENT,2230677.855555556
ADANIGREEN,3383819.077777778
ADANIPORTS,2585366.355555556
ADANIPOWER,34153374.822222225
ADDICTIVE,18117.977528089887
ADFFOODS,444677.56666666665
ADISOFT,201288.88888888888
ADL,1151.370786516854
ADOR,46217.53333333333
ADROITINFO,37014.72222222222
ADSL,436820.22222222225
ADVAIT,69094.15555555555
ADVANCE,323544.52222222224
ADVANIHOTR,27698.466666666667
ADVENTHTL,289897.8333333333
ADVENZYMES,404461.85555555555
AEGISLOG,2853137.4444444445
AEGISVOPAK,1705463.8
AEPL,44462.57777777778
AEQUS,5983307.666666667
AEROENTER,1024542.5333333333
AEROFLEX,2674974.433333333
AERON,14117.64705882353
AERONEU,70641.67777777778
AEROPLANE,592160.9047619047
AESTHETIK,8084.745762711865
AETHER,427164.9111111111
AFCONS,1856774.7
AFFLE,415814.13333333336
AFFORDABLE,15699.288888888888
AFIL,1188090.6666666667
AFSL,23840.955555555556
AGARIND,217480.0
AGARWALEYE,632534.5111111111
AGARWALFT,4317.073170731707
AGARWALTUF,63840.0
AGI,179611.15555555557
AGIIL,2335594.644444444
AGL,3700612.257142857
AGNI,11392.857142857143
AGRITECH,14582.666666666666
AGROPHOS,23225.044444444444
AGSTRA,203739.7037037037
AGUL,5333.333333333333
AHCL,5121669.155555556
AHIMSA,70500.0
AHLADA,11511.077777777778
AHLEAST,4077.211111111111
AHLUCONT,37464.08888888889
AHLWEST,2371.9777777777776
AIAENG,101840.93333333333
AIIL,958394.2777777778
AILIMITED,3147.0588235294117
AIMTRON,53113.333333333336
AIRAN,64059.944444444445
AIROLAM,11562.18888888889
AISL,6780.0
AJANTPHARM,127022.95555555556
AJAXENGG,69679.0
AJMERA,791903.9333333333
AJOONI,333709.7555555556
AKANKSHA,20811.764705882353
AKASH,6994.155555555555
AKCAPIT,1912.911111111111
AKG,29995.833333333332
AKI,98791.61111111111
AKIKO,19360.0
AKSHAR,890323.6444444444
AKSHARCHEM,10776.366666666667
AKSHOPTFBR,190552.2
AKUMS,348540.0
ALANKIT,136383.95555555556
ALBERTDAVD,10482.733333333334
ALCODIS,1323.5294117647059
ALEMBICLTD,292421.7111111111
ALGOQUANT,1421771.6888888888
ALICON,21467.98888888889
ALIVUS,122644.1888888889
ALKALI,23916.644444444446
ALKEM,155518.7888888889
ALKYLAMINE,208182.9111111111
