SYMBOL,AVG_30D_VOLUME
1018GS2026,522.0
20MICRONS,808418.0
21STCENMGM,7817.0
360ONE,1168016.0
3BBLACKBIO,3475.0
3IINFOLTD,1599202.0
3MINDIA,6328.0
3PLAND,2081.0
585GS2030,2102.0
591GS2028,4800.0
5PAISA,34543.0
610GS2031,1.0
622GS2035,202.0
633GS2035,2000.0
636GS2031,2600.0
63MOONS,13988219.0
667GS2035,500.0
667GS2050,1.0
668GS2033,1.0
668GS2040,25600.0
676GS2061,5022.0
68GS2060,1.0
690GS2065,77132.0
692GS2039,1000.0
694GS2036,1850.0
695GS2061,2015.0
697GR2034,600.0
698GR2054,10.0
699GS2051,5.0
702GS2031,50.0
704GS2029,100.0
706GS2028,5057.0
706GS2041,8800.0
709GS2054,27710.0
709GS2074,30251.0
710GS2029,4360.0
718GS2037,21252.0
724GS2055,30850.0
725GS2063,776350.0
726GS2029,1.0
726GS2032,5746.0
732GS2030,10.0
733GS2026,3450.0
734GS2064,50867.0
736GS2052,6625.0
738GS2027,142254.0
73GS2053,17104.0
741GS2036,5500.0
743GS2076,459968.0
746GS2073,13430.0
74GS2062,392.0
750GS2056,1500.0
754GS2036,659755.0
771GS2066,15676.0
824GS2027,94.0
826GS2027,5.0
897GS2030,3850.0
92GS2030,4504.0
A2ZINFRA,1556942.0
AAATECH,7156.0
AADHARHFC,224744.0
AAKASH,115079.0
AARADHYA,3600.0
AAREYDRUGS,6585.0
AARNAV,88784.0
AARON,21371.0
AARTECH,18748.0
AARTIDRUGS,187361.0
AARTIIND,11292862.0
AARTIPHARM,155910.0
AARTISURF,13178.0
AARVI,170050.0
AASTHA,797524.0
AATMAJ,4000.0
AAVAS,27076.0
ABAN,86529.0
ABANSENT,13363.0
ABB,348950.0
ABBOTINDIA,6208.0
ABCAPITAL,10947542.0
ABCOTS,5640.0
ABDL,338507.0
ABFRL,14239491.0
ABGSEC,30102.0
ABHAPOWER,8000.0
ABINFRA,1503933.0
ABLBL,849945.0
ABMINTLLTD,281.0
ABMKNO,489.0
