SYMBOL,AVG_30D_VOLUME
1018GS2026,1899.4615384615386
20MICRONS,575522.3
21STCENMGM,5339.833333333333
360ONE,865848.9333333333
3BBLACKBIO,10179.633333333333
3IINFOLTD,695110.0666666667
3MINDIA,7090.833333333333
3PLAND,3648.7
574GS2026,509.69565217391306
577GS2030,2.0
579GS2030,112.0
585GS2030,771.6
591GS2028,1983.8333333333333
5PAISA,52582.36666666667
601GS2028,465.5
601GS2030,14319.636363636364
603GS2029,870.0909090909091
610GS2031,10.344827586206897
613GS2028,959.0
619GS2034,505.5
620GS2029,2969.0
622GS2035,1334.0
628GS2032,1378.888888888889
633GS2035,2302.6875
636GS2031,17608.96
63MOONS,991833.2333333333
645GS2029,66867.83333333333
648GS2035,30956.285714285714
654GS2032,2619.5384615384614
657GS2033A,4600.0
662GS2051,4.0
664GS2027,607.4285714285714
664GS2035,437.45454545454544
667GS2035,216.57142857142858
667GS2050,2257.9310344827586
668GS2033,1833.9444444444443
668GS2040,28745.466666666667
675GS2029,856.5
676GS2061,54289.86666666667
679GS2027,50000.0
679GS2031,3102.6666666666665
679GS2034,13818.952380952382
679GS2034A,172.57142857142858
68GS2060,607.8
690GS2065,69360.83333333333
692GS2039,298.6363636363636
694GS2036,1402.8
695GS2061,2343.8888888888887
697GR2034,287.72727272727275
698GR2054,183.0
699GS2051,2142.2758620689656
702GS2027,2732.818181818182
702GS2031,1133.0
704GS2029,2232.4117647058824
706GS2028,4279.952380952381
706GS2041,5075.0
706GS2046,704.3571428571429
709GS2054,17591.9
709GS2074,31115.666666666668
710GS2029,7182.307692307692
716GS2050,1359.1666666666667
717GS2028,61.2
717GS2030,16122.5625
718GS2033,12513.0
718GS2037,39851.0
719GS2060,371.7
71GS2034,6867.705882352941
723GS2039,2388.3333333333335
724GS2055,73425.2
725GR2028,99.0
725GS2063,194030.06666666668
726GS2029,22.8
726GS2032,18055.545454545456
726GS2033,18072.75
732GS2030,1168.4705882352941
733GS2026,848.5333333333333
734GS2064,193985.36666666667
736GS2052,2468.8260869565215
737GR2054,307.8333333333333
737GS2028,5771.7692307692305
738GS2027,71037.96666666666
73GS2053,25605.615384615383
740IIFCL33,400.42857142857144
741GS2036,26087.423076923078
743GS2076,57991.42857142857
746GS2073,7484.304347826087
74GS2035,1225.0
74GS2062,1733.4827586206898
750GS2056,1599.5
754GS2036,517426.63333333336
757GS2033,258633.0
75GS2034,22634.0
762GS2039,2500.0
763GS2059,230.0
769GS2043,250.0
771GS2066,11712.296296296296
772GS2049,50.333333333333336
772GS2055,8.142857142857142
795GS2032,955.8
813GS2045,1.0
824GS2027,3179.0
826GS2027,63.22222222222222
828GS2032,2000.0
832GS2032,100.0
833GS2026,123.0
83GS2042,2000.0
86GS2028,300.0
883GS2041,183.33333333333334
897GS2030,2936.5454545454545
92GS2030,16553.64285714286
A2ZINFRA,269441.36666666664
AAATECH,17158.9
AADHARHFC,635004.6666666666
AAKAAR,14656.0
AAKASH,147591.76666666666
AARADHYA,2400.0
AAREYDRUGS,47690.53333333333
AARNAV,116064.93333333333
AARON,56928.1
AARTECH,85128.16666666667
AARTIDRUGS,158774.66666666666
AARTIIND,1059959.8
AARTIPHARM,309492.5
AARTISURF,8778.486486486487
AARVI,48001.46666666667
AASTHA,10247541.909090908
AATMAJ,5692.307692307692
AAVAS,144111.53333333333
ABAN,44882.28571428572
ABANSENT,31625.133333333335
ABB,391913.13333333336
ABBOTINDIA,10899.0
ABCAPITAL,4805189.4
ABCOTS,87757.06666666667
ABDL,334686.73333333334
ABFRL,6307605.5
ABGSEC,1377.8461538461538
ABHAPOWER,12910.344827586207
ABINFRA,6791227.6
ABLBL,940632.7333333333
ABMINTLLTD,1886.1333333333334
ABMKNO,2516.3
ABREL,193248.83333333334
ABSL10BANK,74809.86666666667
ABSLAMC,417980.9
ABSLBANETF,347208.23333333334
ABSLFTTJRN,198.0
ABSLLIQUID,3330.0333333333333
ABSLMSCIN,13931.133333333333
ABSLNN50ET,11310.033333333333
ABSLPSE,166542.7
ABSMARINE,125800.0
ACC,199743.13333333333
ACCELYA,7651.333333333333
ACCENTMIC,44850.0
ACCORD,6545.454545454545
ACCPL,23360.0
ACCURACY,91750.7
ACE,699000.7333333333
ACEINTEG,9066.366666666667
ACETEC,57200.0
ACGL,592.0
ACI,207983.3
ACL,15190.166666666666
ACMESOLAR,2544395.1333333333
ACSTECH,318991.86666666664
ACTIVEINFR,2480.0
ACUTAAS,579033.8
ADANIENSOL,3222815.533333333
ADANIENT,2063439.7333333334
ADANIGREEN,3282617.6333333333
ADANIPORTS,2544978.933333333
ADANIPOWER,37528598.766666666
ADDICTIVE,20450.0
ADDIND,612.0
ADFFOODS,265115.1666666667
ADISOFT,185493.33333333334
ADL,1212.6666666666667
ADOR,67356.0
ADROITINFO,38230.4
ADSL,646667.7666666667
ADVAIT,63833.73333333333
ADVANCE,324172.3
ADVANIHOTR,26735.966666666667
ADVENTHTL,228821.0
ADVENZYMES,296328.6
ADVIKCA,192176.0
AEGISLOG,2142314.8
AEGISVOPAK,1007667.4333333333
AEPL,18683.933333333334
AEQUS,5671985.6
AEROENTER,1210560.3333333333
AEROFLEX,1873119.7
AERON,19642.85714285714
AERONEU,63051.5
AEROPLANE,574369.4545454546
AESTHETIK,8720.0
AETHER,444972.56666666665
AFCONS,872339.3666666667
AFFLE,397247.86666666664
AFFORDABLE,13178.833333333334
AFIL,1423231.0
AFSL,27921.866666666665
AGARIND,176032.56666666668
AGARWALEYE,107002.66666666667
AGARWALFT,4500.0
AGARWALTUF,53000.0
AGI,158421.73333333334
AGIIL,2340327.6
AGL,2366312.3636363638
AGNI,9673.91304347826
AGRITECH,3391.6666666666665
AGROPHOS,37016.333333333336
AGSTRA,107606.0
AGUL,3000.0
AHCL,5402359.033333333
AHLADA,11703.233333333334
AHLEAST,2960.1
AHLUCONT,41587.26666666667
AHLWEST,2784.5666666666666
AIAENG,166331.1
AIIL,472416.4
AILIMITED,3187.5
AIMTRON,38360.0
AIRAN,55382.833333333336
AIROLAM,27569.433333333334
AISL,7050.0
AJANTPHARM,138544.03333333333
AJAXENGG,60031.433333333334
AJMERA,805269.6333333333
AJOONI,328004.76666666666
AKANKSHA,17689.655172413793
AKASH,7061.266666666666
AKCAPIT,2621.6666666666665
AKG,24120.5
AKI,78462.3
AKIKO,16186.666666666666
AKSHAR,825716.5333333333
AKSHARCHEM,10067.866666666667
AKSHOPTFBR,148059.53333333333
AKUMS,210198.96666666667
ALANKIT,141187.43333333332
ALBERTDAVD,2575.3
ALCODIS,1282.8947368421052
ALEMBICLTD,338725.0
ALFREDHE,112.0
ALGOQUANT,1266631.1
ALICON,16567.1
ALIVUS,87430.96666666666
ALKALI,46609.1
ALKEM,206573.36666666667
ALKYLAMINE,60311.2
ALLCARGO,5319985.766666667
ALLDIGI,13068.4
ALLETEC,15866.666666666666
ALLTIME,50846.36666666667
ALMONDZ,213293.03333333333
ALOKINDS,7633893.6
ALPA,13774.433333333332
ALPEXSOLAR,55240.0
ALPHA,1283937.3666666667
ALPHAETF,448568.73333333334
ALPHAGEO,7879.866666666667
ALPINETEX,251301.0
ALPL30IETF,750721.5
ALUFLUOR,4695.0
ALUWIND,50000.0
AMAGI,480458.36666666664
AMAL,36666.0
AMANTA,74521.93333333333
AMARJOTHI,2874.0
AMBAAUTO,54068.96551724138
AMBALALSA,129315.26666666666
AMBANIORGO,7307.692307692308
AMBER,404859.13333333336
AMBEY,7600.0
AMBICAAGAR,4835.7
AMBIKCO,22635.366666666665
AMBUJACEM,3052315.9
AMCL,10841.379310344828
AMDIND,18718.433333333334
AMEYA,6391.304347826087
AMIABLE,6800.0
AMIRCHAND,543736.3684210526
AMJLAND,10246.166666666666
AMNPLST,13989.9
AMRUTANJAN,77503.06666666667
ANANDRATHI,590937.0
ANANTAM,21980.133333333335
ANANTRAJ,2255089.3333333335
ANAWIL,383200.0
ANDHRAPAP,201203.93333333332
ANDHRSUGAR,381475.43333333335
ANDREWYU,27201.0
ANGELONE,6590056.933333334
ANIKINDS,4234.4
ANKITMETAL,41754.23333333333
ANLON,14560.0
ANMOL,36323.9
ANNAPURNA,51536.86666666667
ANONDITA,33100.0
ANSALAPI,15596.407407407407
ANSALBU,1.0
ANTELOPUS,163489.7
ANTGRAPHIC,217877.83333333334
ANTHEM,723588.8333333334
ANUHPHR,45920.73333333333
ANUP,43169.1
ANURAS,299049.8333333333
ANYA,45535.71428571428
ANZEN,53125.0
AONEGOLD,504591.7
AONELIQUID,28028.433333333334
AONENIFTY,252199.13333333333
AONESILVER,714476.5
AONETMMQ50,167364.43333333332
AONETOTAL,187890.46666666667
APARINDS,178805.3
APCL,8803.733333333334
APCOTEXIND,415408.26666666666
APEX,215869.9
APEXECO,16773.333333333332
APLAPOLLO,621922.3666666667
APLLTD,113553.56666666667
APOLLO,19411433.3
APOLLOHOSP,388049.4
APOLLOPIPE,255085.2
APOLLOTYRE,1123022.7333333334
APOLSINHOT,1103.8666666666666
APOORVA,361.0
APRAMEYA,29051.724137931036
APS,25666.666666666668
APSISAERO,21280.0
APTECHT,545930.7666666667
APTUS,1021814.4666666667
AQYLON,3397010.3
ARABIAN,8000.0
ARCHIDPLY,9015.666666666666
ARCHIES,13397.866666666667
ARCIIL,9862.068965517241
ARCL,50.0
ARDEE,6709975.0
ARE&M,1212715.6
ARENTERP,26500.133333333335
ARFIN,2138163.2666666666
ARHAM,67600.0
ARIES,22978.8
ARIHANT,5512.9
ARIHANTACA,2646.153846153846
ARIHANTCAP,342201.23333333334
ARIHANTSUP,27320.6
ARIS,1153433.7
ARISTO,2720.0
ARKADE,483476.1
ARMANFIN,41448.6
ARMOUR,10842.105263157895
AROGRANITE,6996.2
ARROWGREEN,41693.03333333333
ARSHIYA,132841.46666666667
ARSSBL,222803.63333333333
ARTEMISMED,256404.76666666666
ARTNIRMAN,1779.3666666666666
ARUNAYA,28148.14814814815
ARVEE,1054.5666666666666
ARVIND,830260.3666666667
ARVINDFASN,369748.76666666666
ARVINDPORT,10500.0
ARVSMART,73340.63333333333
ARYAMAN,317.0
ASAHIINDIA,216748.13333333333
ASAHISONG,79099.5
ASAL,37017.833333333336
ASALCBR,41248.566666666666
ASCOM,2166.6666666666665
ASHALOG,5333.333333333333
ASHAPURMIN,1026523.3333333334
ASHIANA,348071.4666666667
ASHIKA,224334.95833333334
ASHIKAG,860231.6666666666
ASHIMASYN,221180.73333333334
ASHOKA,857277.2666666667
ASHOKAMET,13074.266666666666
ASHOKLEY,28596428.233333334
ASHWINI,31866.666666666668
ASIANENE,494671.93333333335
ASIANHOTNR,57193.4
ASIANPAINT,1603918.2333333334
ASIANTILES,17434179.833333332
ASIANTNE,1174.0
ASKAUTOLTD,248908.76666666666
ASMS,353309.06666666665
ASPINWALL,2179.8
ASPIRE,9000.0
ASSAMENT,14.0
ASTAR,100.48148148148148
ASTEC,82107.8
ASTERDM,860322.8666666667
ASTRAL,928185.1333333333
ASTRAMICRO,1558484.8666666667
ASTRAZEN,18609.766666666666
ASTRON,35758.666666666664
ATALREAL,7025002.666666667
ATAM,10277.9
ATCENERGY,11793.103448275862
ATGL,9828895.366666667
ATHERENERG,3800112.1
ATL,128187.5
ATLANTAA,52429.6
ATLANTAELE,132933.33333333334
ATLASCYCLE,5296.9
ATLPP,3149.2758620689656
ATMASTCO,18586.666666666668
ATUL,63247.03333333333
ATULAUTO,160865.13333333333
AUBANK,2472060.3333333335
AURIGROW,9794948.94736842
AURIONPRO,191054.73333333334
AUROIMPEX,7866.666666666667
AUROPHARMA,1597901.6333333333
AURUM,185929.03333333333
AURUS,14492.545454545454
AUSL,3916.6666666666665
AUSOMENT,4219.3
AUSTENG,3439.0
AUTOAXLES,7815.2
AUTOBEES,338423.4666666667
AUTOIETF,956083.2
AUTOIND,120376.0
AVADHSUGAR,87403.6
AVAILFC,4013.0
AVALON,385671.43333333335
AVANA,26333.333333333332
AVANCE,9386636.0
AVANTEL,2712655.4
AVANTIFEED,588309.5
AVATAR,15733.333333333334
AVG,100061.16666666667
AVIANSH,2833.3333333333335
AVIENCE,188175.0
AVL,356478.63333333336
AVONMORE,210512.63333333333
AVPINFRA,67040.0
AVROIND,288895.23333333334
AVTNPL,85434.43333333333
AWFIS,423478.86666666664
AWHCL,92682.7
AWL,3344129.6333333333
AXISBANK,8115946.5
AXISBNKETF,2373.8947368421054
AXISCADES,188389.56666666668
AXISCETF,1334.1052631578948
AXISGOLD,2071111.4210526317
AXISHCETF,9281.368421052632
AXISILVER,861276.2631578947
AXISNIFTY,18757.315789473683
AXISTECETF,52351.63157894737
AXISVALUE,127765.78947368421
AXITA,445638.0
AXSENSEX,4256.9473684210525
AXTEL,5087.0
AYE,1995764.6333333333
AYMSYNTEX,29083.766666666666
AZAD,427817.4
AZADIND,17242.0
BABAFP,3630.769230769231
BAFNAPH,7338.9
BAGDIGITAL,15341.176470588236
BAGFILMS,92922.96666666666
BAGMANE,1188957.6206896552
BAHETI,24050.0
BAIDFIN,61076.63333333333
BAJAJ-AUTO,512301.3
BAJAJCON,631222.7666666667
BAJAJELEC,204262.76666666666
BAJAJFINSV,1134670.9666666666
BAJAJHCARE,826068.2333333333
BAJAJHFL,4567938.933333334
BAJAJHIND,13829584.933333334
BAJAJHLDNG,58469.166666666664
