SYMBOL,AVG_30D_VOLUME
1018GS2026,3137.4285714285716
20MICRONS,687257.1428571428
21STCENMGM,3616.8571428571427
360ONE,725174.7142857143
3BBLACKBIO,10555.285714285714
3IINFOLTD,296632.85714285716
3MINDIA,5178.285714285715
3PLAND,5578.285714285715
574GS2026,1281.0
577GS2030,2.0
579GS2030,112.0
585GS2030,3.0
591GS2028,200.0
5PAISA,63560.142857142855
601GS2030,4254.75
603GS2029,1101.6666666666667
610GS2031,39.142857142857146
628GS2032,3033.3333333333335
633GS2035,150.0
636GS2031,35433.333333333336
63MOONS,317757.5714285714
648GS2035,2125.3333333333335
654GS2032,17002.0
664GS2027,200.4
664GS2035,1168.6666666666667
667GS2035,2.0
667GS2050,684.0
668GS2033,4220.0
668GS2040,9680.857142857143
675GS2029,2120.0
676GS2061,16751.285714285714
679GS2031,7049.5
679GS2034,21295.6
679GS2034A,102.0
68GS2060,113.75
690GS2065,46181.42857142857
692GS2039,119.2
694GS2036,633.3333333333334
695GS2061,2245.8571428571427
697GR2034,200.0
698GR2054,432.1666666666667
699GS2051,3441.8571428571427
702GS2027,600.0
702GS2031,3566.6666666666665
704GS2029,7134.666666666667
706GS2028,8933.333333333334
706GS2046,525.25
709GS2054,33524.71428571428
709GS2074,32915.28571428572
710GS2029,9266.0
716GS2050,1642.0
717GS2028,13.5
717GS2030,2800.0
718GS2033,12447.57142857143
718GS2037,34132.42857142857
719GS2060,364.0
71GS2034,350.0
723GS2039,200.0
724GS2055,75974.14285714286
725GR2028,99.0
725GS2063,76962.85714285714
726GS2029,100.0
726GS2032,604.0
726GS2033,1000.0
732GS2030,166.66666666666666
733GS2026,392.8
734GS2064,459061.14285714284
736GS2052,2.0
737GS2028,6665.0
738GS2027,103998.71428571429
73GS2053,12809.166666666666
740IIFCL33,184.33333333333334
741GS2036,13716.142857142857
743GS2076,27394.0
746GS2073,4322.2
74GS2035,1800.0
74GS2062,914.1666666666666
750GS2056,1068.3333333333333
754GS2036,639853.0
771GS2066,21581.5
772GS2049,100.0
772GS2055,1.0
795GS2032,461.0
824GS2027,3464.714285714286
832GS2032,100.0
833GS2026,480.0
86GS2028,300.0
897GS2030,700.0
92GS2030,29893.5
A2ZINFRA,262252.71428571426
AAATECH,29472.0
AADHARHFC,266777.4285714286
AAKAAR,35466.666666666664
AAKASH,118387.28571428571
AARADHYA,2800.0
AAREYDRUGS,34105.42857142857
AARNAV,121306.0
AARON,15897.857142857143
AARTECH,75816.71428571429
AARTIDRUGS,142753.85714285713
AARTIIND,878917.8571428572
AARTIPHARM,465344.5714285714
AARTISURF,4205.272727272727
AARVI,60151.857142857145
AATMAJ,6666.666666666667
AAVAS,131884.85714285713
ABAN,17811.0
ABANSENT,92845.14285714286
ABB,610567.4285714285
ABBOTINDIA,8940.857142857143
ABCAPITAL,4040733.5714285714
ABCOTS,52074.42857142857
ABDL,272549.14285714284
ABFRL,11415294.714285715
ABGSEC,109.42857142857143
ABHAPOWER,34514.28571428572
ABINFRA,1537253.0
ABLBL,1126490.2857142857
ABMINTLLTD,570.4285714285714
ABMKNO,2223.5714285714284
ABREL,186028.42857142858
ABSL10BANK,109538.0
ABSLAMC,320621.85714285716
ABSLBANETF,62612.857142857145
ABSLFTTJRN,198.0
ABSLLIQUID,3342.285714285714
ABSLMSCIN,800.7142857142857
ABSLNN50ET,12856.57142857143
ABSLPSE,171012.2857142857
ABSMARINE,157571.42857142858
ACC,193290.2857142857
ACCELYA,9849.857142857143
ACCENTMIC,42285.71428571428
ACCORD,8000.0
ACCPL,38400.0
ACCURACY,150670.85714285713
ACE,288477.0
ACEINTEG,5478.285714285715
ACETEC,120000.0
ACI,134319.2857142857
ACL,13039.57142857143
ACMESOLAR,2487528.1428571427
ACSTECH,171897.0
ACTIVEINFR,1400.0
ACUTAAS,735981.2857142857
ADANIENSOL,5450812.0
ADANIENT,3921619.1428571427
ADANIGREEN,4799696.285714285
ADANIPORTS,3035393.285714286
ADANIPOWER,78361196.71428572
ADDICTIVE,6357.142857142857
ADFFOODS,247297.2857142857
ADISOFT,597142.8571428572
ADL,1086.4285714285713
ADOR,72507.57142857143
ADROITINFO,45416.0
ADSL,111457.14285714286
ADVAIT,145276.7142857143
ADVANCE,65514.42857142857
ADVANIHOTR,30756.14285714286
ADVENTHTL,226792.7142857143
ADVENZYMES,194824.2857142857
AEGISLOG,1872255.5714285714
AEGISVOPAK,548667.4285714285
AEPL,25231.285714285714
AEQUS,4392328.571428572
AEROENTER,297998.5714285714
AEROFLEX,1974774.5714285714
AERON,24166.666666666668
AERONEU,66412.0
AESTHETIK,8166.666666666667
AETHER,233819.85714285713
AFCONS,1717732.0
AFFLE,213999.57142857142
AFFORDABLE,9578.285714285714
AFIL,2117386.4285714286
AFSL,26445.285714285714
AGARIND,44263.42857142857
AGARWALEYE,69025.57142857143
AGARWALFT,2500.0
AGARWALTUF,66342.85714285714
AGI,226034.0
AGIIL,2570834.285714286
AGNI,12916.666666666666
AGRITECH,3348.0
AGROPHOS,98349.42857142857
AGSTRA,88530.0
AHCL,4301384.142857143
AHLADA,9877.42857142857
AHLEAST,3737.285714285714
AHLUCONT,48169.0
AHLWEST,5468.428571428572
AIAENG,429687.5714285714
AIIL,519518.71428571426
AILIMITED,2100.0
AIMTRON,53400.0
AIRAN,86203.71428571429
AIROLAM,2215.1428571428573
AISL,3150.0
AJANTPHARM,136480.14285714287
AJAXENGG,122754.0
AJMERA,2013336.5714285714
AJOONI,270700.28571428574
AKANKSHA,11857.142857142857
AKASH,4685.0
AKCAPIT,1315.7142857142858
AKG,6613.714285714285
AKI,63139.28571428572
AKIKO,8800.0
AKSHAR,1545049.0
AKSHARCHEM,3300.4285714285716
AKSHOPTFBR,96293.71428571429
AKUMS,182473.2857142857
ALANKIT,280838.4285714286
ALBERTDAVD,2633.0
ALCODIS,1250.0
ALEMBICLTD,256927.7142857143
ALGOQUANT,1257295.4285714286
ALICON,18016.14285714286
ALIVUS,102301.71428571429
ALKALI,175623.42857142858
ALKEM,491382.4285714286
ALKYLAMINE,65235.0
ALLCARGO,4278949.285714285
ALLDIGI,6043.714285714285
ALLETEC,10285.714285714286
ALLTIME,65349.857142857145
ALMONDZ,120227.85714285714
ALOKINDS,18324433.14285714
ALPA,23313.714285714286
ALPEXSOLAR,67300.0
ALPHA,1760995.142857143
ALPHAETF,542800.0
ALPHAGEO,5103.0
ALPL30IETF,1032303.8571428572
ALUWIND,127500.0
AMAGI,126337.57142857143
AMANTA,123229.42857142857
AMBAAUTO,78500.0
AMBALALSA,188192.14285714287
AMBANIORGO,3000.0
AMBER,373997.71428571426
AMBEY,8857.142857142857
AMBICAAGAR,3590.714285714286
AMBIKCO,32797.42857142857
AMBUJACEM,3853517.8571428573
AMCL,4628.571428571428
AMDIND,10177.42857142857
AMEYA,9285.714285714286
AMIABLE,5866.666666666667
AMIRCHAND,367165.0
AMJLAND,12583.714285714286
AMNPLST,7805.142857142857
AMRUTANJAN,16415.85714285714
ANANDRATHI,938064.4285714285
ANANTAM,8260.285714285714
ANANTRAJ,1697784.5714285714
ANDHRAPAP,78287.85714285714
ANDHRSUGAR,430124.71428571426
ANGELONE,6266760.428571428
ANIKINDS,5285.714285714285
ANKITMETAL,50723.42857142857
ANLON,44457.142857142855
ANMOL,40574.0
ANNAPURNA,52000.0
ANONDITA,32200.0
ANSALAPI,9001.57142857143
ANTELOPUS,207842.2857142857
ANTGRAPHIC,271655.0
ANTHEM,1040079.7142857143
ANUHPHR,28535.714285714286
ANUP,57527.57142857143
ANURAS,552568.4285714285
ANYA,42500.0
ANZEN,25000.0
AONEGOLD,383014.0
AONELIQUID,49919.142857142855
AONENIFTY,342059.28571428574
AONESILVER,613546.4285714285
AONETMMQ50,99105.28571428571
AONETOTAL,236885.57142857142
APARINDS,216809.42857142858
APCL,12102.142857142857
APCOTEXIND,77909.0
APEX,439487.5714285714
APEXECO,11771.42857142857
APLAPOLLO,1183613.0
APLLTD,88496.28571428571
APOLLO,41538658.28571428
APOLLOHOSP,534278.8571428572
APOLLOPIPE,185978.2857142857
APOLLOTYRE,2161661.1428571427
APOLSINHOT,1696.7142857142858
APRAMEYA,84571.42857142857
APS,30678.571428571428
APSISAERO,38057.142857142855
APTECHT,1980080.4285714286
APTUS,436538.0
AQYLON,3010241.5714285714
ARABIAN,11600.0
ARCHIDPLY,21222.85714285714
ARCHIES,18658.428571428572
ARCIIL,12285.714285714286
ARE&M,3408203.4285714286
ARENTERP,1427.5714285714287
ARFIN,2113793.0
ARHAM,52142.857142857145
ARIES,45066.142857142855
ARIHANT,1834.857142857143
ARIHANTACA,400.0
ARIHANTCAP,124316.14285714286
ARIHANTSUP,50050.142857142855
ARIS,1360509.7142857143
ARISTO,3200.0
ARKADE,804775.1428571428
ARMANFIN,79819.42857142857
ARMOUR,14800.0
AROGRANITE,3830.0
ARROWGREEN,122828.0
ARSHIYA,50924.142857142855
ARSSBL,319212.5714285714
ARTEMISMED,223112.85714285713
ARTNIRMAN,849.4285714285714
ARUNAYA,28285.714285714286
ARVEE,327.42857142857144
ARVIND,455664.85714285716
ARVINDFASN,200586.7142857143
ARVINDPORT,10714.285714285714
ARVSMART,30105.571428571428
ASAHIINDIA,421511.4285714286
ASAHISONG,52047.28571428572
ASAL,18921.714285714286
ASALCBR,50964.0
ASCOM,2500.0
ASHALOG,10833.333333333334
ASHAPURMIN,2713137.1428571427
ASHIANA,190120.2857142857
ASHIKA,172213.14285714287
ASHIMASYN,95834.0
ASHOKA,869493.1428571428
ASHOKAMET,19691.85714285714
ASHOKLEY,42123859.14285714
ASHWINI,18000.0
ASIANENE,380991.0
ASIANHOTNR,11059.42857142857
ASIANPAINT,1995306.0
ASIANTILES,4111148.5714285714
ASKAUTOLTD,148489.7142857143
ASMS,861437.5714285715
ASPINWALL,2635.714285714286
ASPIRE,4333.333333333333
ASTAR,106.14285714285714
ASTEC,207572.57142857142
ASTERDM,438611.5714285714
ASTRAL,1238824.7142857143
ASTRAMICRO,3797029.5714285714
ASTRAZEN,38089.71428571428
ASTRON,35920.857142857145
ATALREAL,5580579.142857143
ATAM,13897.142857142857
ATCENERGY,18685.714285714286
ATGL,34260055.571428575
ATHERENERG,4921235.428571428
ATL,128346.85714285714
ATLANTAA,64285.57142857143
ATLANTAELE,138205.2857142857
ATLASCYCLE,7316.571428571428
ATLPP,5802.857142857143
ATMASTCO,24800.0
ATUL,16527.714285714286
ATULAUTO,149166.7142857143
AUBANK,2546870.1428571427
AURIGROW,9035347.285714285
AURIONPRO,116112.28571428571
AUROIMPEX,3520.0
AUROPHARMA,1527876.857142857
AURUM,88052.28571428571
AUSL,4000.0
AUSOMENT,7608.714285714285
AUTOAXLES,7285.142857142857
AUTOBEES,279992.71428571426
AUTOIETF,1010241.0
AUTOIND,100135.14285714286
AVADHSUGAR,24929.428571428572
AVAILFC,1597.7142857142858
AVALON,457730.85714285716
AVANA,29714.285714285714
AVANTEL,4799519.571428572
AVANTIFEED,974111.8571428572
AVATAR,6500.0
AVG,22971.714285714286
AVIANSH,3142.8571428571427
AVL,228181.42857142858
AVONMORE,138723.2857142857
AVPINFRA,85257.14285714286
AVROIND,371268.14285714284
AVTNPL,207190.57142857142
AWFIS,1039927.7142857143
AWHCL,83480.71428571429
AWL,2378985.5714285714
AXISBANK,10503764.42857143
AXISBNKETF,2460.714285714286
AXISCADES,125122.85714285714
AXISCETF,2277.5714285714284
AXISGOLD,1405352.4285714286
AXISHCETF,9473.857142857143
AXISILVER,672187.0
AXISNIFTY,25183.0
AXISTECETF,2105.5714285714284
AXISVALUE,142682.57142857142
AXITA,746646.8571428572
AXSENSEX,2854.4285714285716
AYE,1390130.7142857143
AYMSYNTEX,28106.285714285714
AZAD,402875.0
BABAFP,3200.0
BAFNAPH,2505.8571428571427
BAGDIGITAL,3200.0
BAGFILMS,67787.42857142857
BAGMANE,1478180.3333333333
BAHETI,22928.571428571428
BAIDFIN,86706.42857142857
BAJAJ-AUTO,562128.0
BAJAJCON,659666.5714285715
BAJAJELEC,570780.2857142857
BAJAJFINSV,1059063.5714285714
BAJAJHCARE,134320.85714285713
BAJAJHFL,4806636.0
BAJAJHIND,8564065.285714285
BAJAJHLDNG,54103.71428571428
BAJAJINDEF,57282.857142857145
BAJAJST,51823.57142857143
BAJEL,3257634.1428571427
BAJFINANCE,21017648.14285714
BALAJEE,44495.71428571428
BALAJIPHOS,14142.857142857143
BALAJITELE,252961.42857142858
BALAMINES,251531.42857142858
BALAXI,42973.0
BALCO,3000.0
BALKRISHNA,27750.571428571428
BALKRISIND,245719.2857142857
BALMLAWRIE,145178.2857142857
BALPHARMA,107419.42857142857
BALRAMCHIN,903406.2857142857
BALUFORGE,1781325.2857142857
BANARBEADS,2290.4285714285716
BANARISUG,768.2857142857143
BANCOINDIA,766161.5714285715
BANDHANBNK,16679734.0
BANG,6406.285714285715
BANK10ADD,1022971.5714285715
BANKA,16851.85714285714
BANKADD,22525.571428571428
BANKBARODA,12783289.0
BANKBEES,1126167.4285714286
BANKBETA,271120.4285714286
BANKBETF,48495.142857142855
BANKETF,32192.714285714286
BANKIETF,1525890.7142857143
BANKINDIA,11968356.57142857
BANKNIFTY1,971143.2857142857
BANKPSU,24534.285714285714
BANSALWIRE,79442.71428571429
BANSWRAS,15013.42857142857
BARFLEX,10857.142857142857
BASF,16889.85714285714
BASILIC,18471.428571428572
BASML,296991.14285714284
BATAINDIA,231018.2857142857
BATLIBOI,20148.571428571428
BAWEJA,7866.666666666667
BAYERCROP,42760.28571428572
BBETF0432,969.0
BBL,35857.142857142855
BBNPNBETF,1104.142857142857
BBNPPGOLD,50741.71428571428
BBOX,1639391.857142857
BBTC,27828.85714285714
BBTCL,33754.71428571428
BCG,7519986.285714285
BCLIND,1329842.5714285714
BCONCEPTS,19588.85714285714
BCPL,133503.85714285713
BDL,2975312.4285714286
BEACON,22571.428571428572
BEARDSELL,74763.85714285714
BECTORFOOD,877030.4285714285
BEDMUTHA,7549.428571428572
BEEKAY,2260.5714285714284
BEL,15976653.57142857
BELLACASA,14074.857142857143
BELRISE,5631505.571428572
BEML,441514.71428571426
BENGALASM,351.14285714285717
BEPL,625751.1428571428
BERGEPAINT,381617.28571428574
BESTAGRO,937758.1428571428
BETA,21918.85714285714
BEWLTD,26500.0
BFINVEST,189810.2857142857
BFSI,294862.0
BFUTILITIE,81895.57142857143
BGLOBAL,38548.0
BGRENERGY,159724.14285714287
BHADORA,27942.85714285714
BHAGCHEM,71961.28571428571
BHAGERIA,26882.571428571428
BHAGYANGR,182641.0
BHANDARI,272631.14285714284
BHARATCOAL,64369203.85714286
BHARATFORG,1613989.5714285714
BHARATGEAR,80290.14285714286
BHARATRAS,47710.857142857145
BHARATSE,160698.57142857142
BHARATWIRE,349728.85714285716
BHARTIARTL,21070700.14285714
BHARTIHEXA,98955.57142857143
BHEL,13834678.42857143
BI,2261.285714285714
BIGBLOC,196049.85714285713
BIKAJI,204740.2857142857
BIKEWO,78571.42857142857
BIL,4829.285714285715
BILVYAPAR,37856.0
BIMETAL,4623.428571428572
BIOCON,4098040.5714285714
BIOFILCHEM,198294.85714285713
BIOPOL,62057.142857142855
BIRDYS,1200.0
BIRET,451667.14285714284
BIRLACABLE,75882.85714285714
BIRLACORPN,43996.57142857143
BIRLAMONEY,55510.857142857145
BIRLANU,6887.714285714285
BIRLAPREC,300993.71428571426
BLACKBUCK,840489.5714285715
BLACKROSE,15838.57142857143
BLAL,10809.714285714286
BLBLIMITED,65050.0
BLIL,65707.0
BLISSGVS,8848409.285714285
BLKASHYAP,1235929.4285714286
BLS,1493195.142857143
BLSE,581882.0
BLUECHIP,8492.57142857143
BLUECOAST,1810.0
BLUEDART,12179.142857142857
BLUEJET,1739731.7142857143
BLUEPEBBLE,9085.714285714286
BLUESTARCO,452487.85714285716
BLUESTONE,542499.1428571428
BLUEWATER,14857.142857142857
BLUSPRING,810141.0
BMETRICS,2285.714285714286
BMLL,2189000.0
BMWVENTLTD,82517.57142857143
BNAGROCHEM,11140.42857142857
BNALTD,534.7142857142857
BODALCHEM,275540.0
BOHRAIND,8791.285714285714
BOMDYEING,946647.4285714285
BONLON,37289.71428571428
BORANA,65226.28571428572
BOROLTD,100038.28571428571
BORORENEW,446499.85714285716
BOROSCI,170146.85714285713
BOSCH-HCIL,13590.857142857143
BOSCHLTD,63156.857142857145
BOSS,4000.0
BPCL,14405880.42857143
BPL,71549.28571428571
BRACEPORT,5333.333333333333
BRANDMAN,23085.714285714286
BRIGADE,306730.14285714284
BRIGHOTEL,99645.28571428571
BRITANNIA,647792.0
BRNL,37936.57142857143
BROOKS,64312.857142857145
BSE,3815529.8571428573
BSE500IETF,192892.0
BSHSL,5249.285714285715
BSL,86869.0
BSLGOLDETF,229718.14285714287
BSLNIFTY,608430.0
BSLSENETFG,5234.285714285715
BSOFT,696452.0
BTML,673099.4285714285
BTTL,14055.857142857143
BUILDPRO,66366.0
BULKCORP,5657.142857142857
BUTTERFLY,24873.428571428572
BVCL,13458.57142857143
BYKE,61844.857142857145
C2C,91735.71428571429
CADSYS,3500.0
CALSOFT,237124.14285714287
CAMLINFINE,2457088.0
CAMPUS,1213192.5714285714
CAMS,1761031.7142857143
CANARYS,90857.14285714286
CANBK,33991261.28571428
CANFINHOME,175850.0
CANHLIFE,915102.4285714285
CANTABIL,157024.57142857142
CAPACITE,279605.0
CAPILLARY,20775.571428571428
CAPINVIT,189866.57142857142
CAPITALSFB,50390.28571428572
CAPLIPOINT,95080.71428571429
CAPTRUST,30598.428571428572
CARBORUNIV,178044.7142857143
CARERATING,42075.142857142855
CARRARO,1102347.0
CARTRADE,634508.0
CARYSIL,151782.7142857143
CASHIETF,300701.4285714286
CASTROLIND,1467245.0
CBAZAAR,9333.333333333334
CCAVENUE,10809250.285714285
CCCL,205299.0
CCHHL,19374.428571428572
CCL,170217.7142857143
CDSL,1961458.4285714286
CEATLTD,167026.42857142858
CEDAAR,6833.333333333333
CEIGALL,519057.4285714286
CEINSYS,118425.0
CELEBRITY,47244.57142857143
CELLECOR,342428.5714285714
CELLO,678822.0
CELLPOINT,5100.0
CEMPRO,4218929.142857143
CENTENKA,83573.85714285714
CENTEXT,128905.42857142857
CENTRALBK,20565796.85714286
CENTRUM,190949.57142857142
CENTUM,96849.28571428571
CENTURYPLY,380379.4285714286
CERA,8025.0
CEREBRAINT,193261.14285714287
CESC,4130900.4285714286
CEWATER,48387.857142857145
CGCL,2851887.4285714286
CGPOWER,6525271.0
CGRAPHICS,53942.857142857145
CHALET,114014.85714285714
CHAMBLFERT,1419113.5714285714
CHAMUNDA,21428.571428571428
CHANDAN,21142.85714285714
CHAVDA,12285.714285714286
CHEMBOND,4914.857142857143
CHEMBONDCH,12983.857142857143
CHEMCON,125334.28571428571
CHEMFAB,2993.285714285714
CHEMICAL,602696.5714285715
CHEMPLASTS,475360.14285714284
CHENNPETRO,1284472.4285714286
CHETANA,35200.0
CHEVIOT,3360.8571428571427
CHOICEGOLD,6430.0
CHOICEIN,505029.71428571426
CHOLAFIN,2199116.4285714286
CHOLAHLDNG,147129.85714285713
CIEINDIA,266746.0
CIFL,272312.28571428574
CIGNITITEC,25947.0
CINELINE,5798.428571428572
CINEVISTA,12992.0
CIPLA,3446986.5714285714
CITIUSINVT,893380.4285714285
CKKRETAIL,30742.85714285714
CLASSICEIL,10742.857142857143
CLCIND,196.0
CLEAN,618486.0
CLEANMAX,231419.42857142858
CLEDUCATE,42374.142857142855
CLSEL,379419.14285714284
CLSL,5200.0
CMICABLES,24406.0
CMNL,9642.857142857143
CMPDI,4116016.8571428573
CMRSL,1066.6666666666667
CMSINFO,366106.85714285716
CNL,9276.42857142857
COALINDIA,67475091.42857143
COASTCORP,137416.85714285713
COCHINSHIP,1301095.7142857143
COCKERILL,22236.14285714286
COFFEEDAY,21085209.57142857
COFORGE,2151270.5714285714
COHANCE,2350446.0
COLPAL,788596.2857142857
COMFINTE,656625.5714285715
COMMITTED,9485.714285714286
COMMOIETF,114609.57142857143
COMPINFO,19853.0
COMPUSOFT,20550.571428571428
COMSYN,24867.571428571428
CONCOR,3461136.4285714286
CONCORDBIO,201295.42857142858
CONFIPET,3061622.5714285714
CONNPLEX,93028.57142857143
CONS,17618.428571428572
CONSOFINVT,5593.714285714285
CONSUMBEES,94161.85714285714
CONSUMER,214789.0
CONSUMIETF,17869.571428571428
CONTI,13332.0
CONTROLPR,28675.714285714286
COOLCAPS,66250.0
CORALFINAC,19953.714285714286
CORDSCABLE,486645.85714285716
COROMANDEL,569263.8571428572
CORONA,24497.85714285714
COSMOFIRST,96684.71428571429
COUNCODOS,47334.28571428572
CPCAP,14054.0
CPEDU,12814.57142857143
CPPLUS,518229.71428571426
CPS,8970.0
CPSEETF,1529689.7142857143
CRAFTSMAN,62272.0
CRAMC,379908.28571428574
CRAYONS,10857.142857142857
CREATIVEYE,18546.428571428572
CREDITACC,377650.5714285714
CREST,5538.0
CRISIL,40420.57142857143
CRIZAC,916518.2857142857
CROMPTON,2425996.5714285714
CROWN,19097.14285714286
CSBBANK,455833.4285714286
