S.No.,Company,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,ROE 10Yr  %,CMP / BV,Ind PBV,Symbol,Industry
1.0,P & G Hygiene,7025.0,28.82,22803.71,3.24,126.27,-34.25,891.46,-4.86,157.2,59.95,30.23,8.68,PGHH,Household & Personal Products
2.0,Ksolves India,249.1,16.95,590.88,4.4,8.49,28.25,40.13,6.56,127.4,134.39,20.41,3.52,KSOLVES,Software - Application
3.0,Tips Music,668.8,39.83,8549.36,1.9,43.7,-4.67,106.51,20.94,118.47,58.46,32.89,1.31,TIPSMUSIC,Entertainment
4.0,Colgate-Palmoliv,1854.2,36.87,50431.56,2.57,343.08,7.77,1603.3,11.8,108.02,66.12,31.89,8.68,COLPAL,Fast Moving Consumer Goods
5.0,Gillette India,7068.1,34.5,23034.95,2.58,159.45,9.44,783.02,10.8,90.69,38.63,24.34,8.68,GILLETTE,Fast Moving Consumer Goods
6.0,One Global Serv,536.65,14.18,1048.78,0.18,14.3,45.62,102.77,17.01,87.02,53.4,7.42,5.54,ONEGLOBAL,Pharmaceutical Retailers
7.0,Waaree Renewab.,835.0,17.08,8715.65,0.12,114.49,32.3,811.34,34.53,84.98,65.18,9.28,4.23,WAAREERTL,Engineering & Construction
8.0,Nestle India,1359.6,69.84,262173.63,0.88,975.12,48.61,6378.18,25.16,84.14,76.17,49.45,4.79,NESTLEIND,Fast Moving Consumer Goods
9.0,P & G Health Ltd,5401.85,26.92,8966.75,2.85,96.15,9.5,363.71,7.37,83.88,31.4,17.08,4.16,PGHL,Drug Manufacturers - Specialty & Generic
10.0,GE Vernova T&D,4280.0,81.12,109589.36,0.23,362.99,24.65,1836.14,38.04,77.44,15.96,40.74,5.21,GVT&D,Capital Goods
11.0,Stellant Secu.,989.0,15.34,562.33,0.02,17.07,904.12,11.79,408.19,71.73,45.66,7.0,2.3,526071,Financial Services - Misc
12.0,Multi Comm. Exc.,3318.0,54.9,84606.32,0.23,413.44,103.47,702.0,88.1,71.35,19.93,29.79,19.46,MCX,Financial Services
13.0,Hindustan Zinc,590.0,14.76,249293.83,1.85,5425.0,146.14,13687.0,77.22,69.25,32.55,11.05,11.04,HINDZINC,Metals & Mining
14.0,Esab India,5463.55,40.63,8410.06,1.38,56.14,37.13,421.12,19.63,64.68,32.04,19.6,3.79,ESABINDIA,Tools & Accessories
15.0,Page Industries,37575.0,53.62,41910.68,1.46,192.81,-3.98,1420.45,7.89,64.39,46.58,27.92,2.45,PAGEIND,Textiles
16.0,TCS,2081.9,14.05,753249.52,3.07,13420.0,8.45,72275.0,13.93,63.03,42.56,7.04,3.52,TCS,Information Technology
17.0,Glaxosmi. Pharma,2819.2,45.38,47758.95,2.0,237.18,15.69,938.44,16.55,61.41,32.52,21.06,4.16,GLAXO,Healthcare
18.0,Castrol India,201.85,18.43,19965.46,4.31,347.7,42.5,1871.47,25.03,60.27,51.36,10.43,2.3,CASTROLIND,Oil Gas & Consumable Fuels
19.0,BSE,3192.7,45.96,130225.15,0.31,872.66,65.7,1566.02,63.48,59.99,20.45,19.5,19.46,BSE,Financial Services
20.0,HBL Engineering,800.5,27.68,22189.4,0.39,109.14,-25.07,638.03,6.03,59.3,17.86,9.96,3.79,HBLENGINE,Capital Goods
21.0,Swaraj Engines,3545.1,21.1,4307.23,3.09,55.53,11.13,588.39,21.54,58.38,36.81,8.81,6.48,SWARAJENG,Auto Parts
22.0,Sanofi India,3143.0,21.1,7238.32,2.37,83.5,20.14,437.7,7.73,57.51,25.84,8.72,4.16,SANOFI,Drug Manufacturers - General
23.0,Ingersoll-Rand,4247.5,48.88,13408.5,1.74,70.46,19.46,379.46,20.34,57.11,21.99,21.75,6.48,INGERRAND,Specialty Industrial Machinery
24.0,Britannia Inds.,4930.0,45.63,118748.07,1.86,593.38,13.56,4999.97,8.17,56.0,46.17,23.22,4.79,BRITANNIA,Fast Moving Consumer Goods
25.0,Indian Energy Ex,112.5,20.59,10031.5,3.07,126.69,12.08,155.93,11.39,51.79,41.58,7.65,19.46,IEX,Financial Services
26.0,Shilchar Tech.,4110.3,34.21,4702.3,0.31,20.86,-49.72,134.61,-15.21,50.74,37.1,9.54,4.23,SHILCTECH,Electrical Equipment & Parts
27.0,Frontier Springs,1443.0,29.1,1704.98,0.05,12.01,-18.52,78.46,4.14,50.63,23.75,9.32,3.65,FRONTSP,Metal Fabrication
28.0,3M India,33997.55,86.91,38315.24,0.46,233.07,-0.42,1423.21,19.0,50.01,18.81,21.65,1.51,3MINDIA,Diversified
29.0,Accelya Solution,1110.0,15.96,1656.81,4.04,30.45,-10.31,127.12,-3.52,49.42,41.6,6.62,3.52,ACCELYA,Information Technology Services
30.0,Cams Services,707.5,38.69,17575.61,1.76,121.81,15.8,353.05,5.58,48.27,39.61,14.5,9.26,CAMS,Financial Services
31.0,Marico,815.7,56.23,106056.38,0.49,652.0,25.0,3957.0,22.85,47.05,37.98,25.1,1.93,MARICO,Fast Moving Consumer Goods
32.0,I R C T C,458.85,26.61,36708.0,1.97,329.86,-0.18,1369.53,18.1,46.1,35.53,8.56,2.63,IRCTC,Consumer Services
33.0,Oracle Fin.Serv.,10736.8,27.32,93519.71,3.73,1415.5,120.52,3125.2,68.73,45.28,28.41,11.96,1.96,OFSS,Information Technology
34.0,Abbott India,27000.0,35.56,57375.03,1.96,428.52,17.13,1813.68,4.33,44.8,30.75,12.01,4.16,ABBOTINDIA,Healthcare
35.0,Nippon Life Ind.,1157.75,45.35,74100.87,1.86,503.7,27.16,766.87,26.42,43.8,25.36,15.88,6.72,NAM-INDIA,Financial Services
