Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
360ONE,360 ONE WAM Ltd.,No,No,Yes,Yes,Yes,No,No
3MINDIA,3M India Ltd.,No,No,Yes,Yes,No,No,No
AADHARHFC,Aadhar Housing Finance Ltd.,No,No,Yes,No,No,Yes,Yes
AARTIDRUGS,Aarti Drugs Ltd.,No,No,Yes,No,No,No,Yes
AARTIIND,Aarti Industries Ltd.,No,No,Yes,No,No,Yes,Yes
AARTIPHARM,Aarti Pharmalabs Ltd.,No,No,Yes,No,No,No,Yes
AAVAS,Aavas Financiers Ltd.,No,No,Yes,No,No,Yes,Yes
ABB,ABB India Ltd.,No,Yes,Yes,No,No,No,No
ABBOTINDIA,Abbott India Ltd.,No,No,Yes,Yes,No,No,No
ABCAPITAL,Aditya Birla Capital Ltd.,No,No,Yes,Yes,Yes,No,No
ABDL,Allied Blenders and Distillers Ltd.,No,No,Yes,No,No,Yes,Yes
ABFRL,Aditya Birla Fashion and Retail Ltd.,No,No,Yes,No,No,Yes,Yes
ABLBL,Aditya Birla Lifestyle Brands Ltd.,No,No,Yes,No,No,Yes,Yes
ABREL,Aditya Birla Real Estate Ltd.,No,No,Yes,No,No,Yes,Yes
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,No,No,Yes,No,No,Yes,Yes
ACC,ACC Ltd.,No,No,Yes,Yes,No,No,No
ACE,Action Construction Equipment Ltd.,No,No,Yes,No,No,Yes,Yes
ACI,Archean Chemical Industries Ltd.,No,No,Yes,No,No,No,Yes
ACMESOLAR,ACME Solar Holdings Ltd.,No,No,Yes,No,No,Yes,Yes
ACUTAAS,Acutaas Chemicals Ltd.,No,No,Yes,No,No,Yes,Yes
ADANIENSOL,Adani Energy Solutions Ltd.,No,Yes,Yes,No,No,No,No
ADANIENT,Adani Enterprises Ltd.,Yes,Yes,Yes,No,No,No,No
ADANIGREEN,Adani Green Energy Ltd.,No,Yes,Yes,No,No,No,No
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Yes,Yes,Yes,No,No,No,No
ADANIPOWER,Adani Power Ltd.,No,Yes,Yes,No,No,No,No
ADVENZYMES,Advanced Enzyme Tech Ltd.,No,No,Yes,No,No,No,Yes
